Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO BRADESCO BBI S.A.;6271464;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;7;4.972.212;3.934.545;0;0;0;0;0;0;0;0;1.693.615;518;3.880.176;14.481.074;0;14.481.074
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;;;84693;n1;3;14;SAO PAULO;SP;06/2020;131.141;5.493.997;7.857.532;332.949;-34.299;298.650;0;0;0;0;0;652.666;0;0;14.433.986;0;14.433.986
BANCO GM S.A.;59274605;;;80848;b2;3;8;SAO PAULO;SP;06/2020;10.064;2.093.999;174.987;9.095.459;-271.022;8.824.437;40;28.027;476;-270;28.272;1.938.212;22.737;756.654;13.849.362;476;13.848.886
BANCO HSBC S.A.;53518684;;;84741;b1;3;8;SAO PAULO;SP;06/2020;52.702;823.900;6.300.642;391.015;-1.542;389.473;0;0;0;0;0;5.859.682;946;54.465;13.481.810;0;13.481.810
BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;MERCEDES-BENZ;51262;80563;b2;3;8;SAO PAULO;SP;06/2020;78.861;545.381;667;11.563.322;-399.029;11.164.293;0;0;0;0;0;1.303.584;18.877;97.271;13.208.936;0;13.208.936
BANCO RCI BRASIL S.A.;62307848;SANTANDER;30379;80185;b2;3;8;SAO PAULO;SP;06/2020;39.073;840.050;794.859;8.937.250;-191.809;8.745.441;9.387;1.375.312;851.817;-16.474;2.220.042;637.861;253.837;4.043;13.535.206;851.817;12.683.389
BANCO ITAULEASING S.A.;49925225;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;06/2020;201;2.873.997;0;0;0;0;0;133.724;107.737;1;241.460;209.162;285;9.360.845;12.685.950;107.737;12.578.213
BANCO INTER S.A.;416968;INTER;51884;80996;b1;2;8;BELO HORIZONTE;MG;06/2020;333.316;3.353.715;1.502.899;4.595.574;-172.022;4.423.553;0;0;0;0;0;1.416.524;1.129.100;235.283;12.394.389;0;12.394.389
BANCO BRADESCARD S.A.;4184779;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;4.485;1.122.705;11;3.682.982;-1.582.732;2.100.251;0;0;0;0;0;8.293.117;90.897;662.216;12.273.682;0;12.273.682
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;;;81452;b1;3;8;SAO PAULO;SP;06/2020;46.961;7.325.868;1.043.777;1.826.657;-80;1.826.576;0;0;0;0;0;1.966.399;1.371;6.142;12.217.092;0;12.217.092
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;;;;b3C;2;9;CURITIBA;PR;06/2020;0;282.387;11.624.374;0;0;0;0;0;0;0;0;151.228;255;66.316;12.124.561;0;12.124.561
